#{"t_start": 1743914312.7651405, "env_id": "None"}
r,l,t
-252.593986,10,1.541081
16.403331,5,1.571365
-355.871952,12,1.576389
-399.623552,13,1.578421
-749.162866,20,1.605929
-931.290209,24,1.607944
-358.545553,12,1.611296
-180.592508,9,1.611945
-430.60809,14,1.612942
-303.846346,11,1.613961
-148.008696,8,1.613961
-433.602764,14,1.613961
-133.596669,8,1.61547
-404.308722,13,1.61547
-330.534388,12,1.616481
-203.080961,9,1.617479
-351.742244,12,1.618479
-774.907616,20,1.618479
-330.181037,12,1.61948
-373.226506,12,1.61948
-102.593986,7,1.620478
-329.754832,12,1.621475
-955.871952,24,1.62306
-501.593001,15,1.62306
-48.281185,6,1.624053
-276.307544,10,1.625558
-103.421741,7,1.625558
-230.60809,10,1.626568
-1153.207857,28,1.630574
-425.326158,13,1.631586
-784.057219,21,1.633583
-884.300465,23,1.635098
-326.779341,12,1.63711
-229.754832,10,1.63711
-1445.997559,34,1.639066
-253.328751,10,1.640103
-252.635337,10,1.641073
-102.804011,7,1.641073
-545.997559,16,1.643072
-353.207857,12,1.643072
-126.70656,8,1.645073
-326.70656,12,1.64659
-84.378139,7,1.64659
-58.545553,6,1.647602
-652.635337,18,1.649182
-276.307544,10,1.650149
-203.185414,9,1.650149
-274.907616,10,1.651161
-52.635337,6,1.651161
-853.207857,22,1.652176
-382.073104,13,1.653172
-555.841573,16,1.654351
-277.170781,11,1.655476
-230.594424,10,1.655476
-76.779341,7,1.655476
-327.170781,12,1.656483
-355.611464,12,1.657482
-305.778134,11,1.658483
-395.790043,13,1.658483
-657.995476,18,1.659482
-426.864441,14,1.662528
-656.33981,18,1.664486
-79.754832,7,1.664486
-548.281185,16,1.665482
-330.28717,12,1.665482
-951.593001,24,1.666928
-1102.588326,27,1.668926
-377.170781,13,1.668926
-205.841573,9,1.67027
-1649.413478,38,1.671287
-377.720858,13,1.6723
-82.672755,7,1.6723
-584.057219,17,1.674288
-658.704922,18,1.682171
-184.057219,9,1.683186
-307.333692,11,1.683186
-998.281185,25,1.685174
-383.602764,13,1.686296
-502.588326,15,1.686296
-52.143079,6,1.687298
-355.871952,12,1.687298
-355.18441,12,1.688322
-1153.131627,28,1.689309
-277.720858,11,1.690309
-1004.308722,25,1.693309
-730.132276,20,1.694299
-603.131627,17,1.695296
-151.742244,8,1.695804
-106.018923,7,1.696806
-749.888195,20,1.696806
-86.420376,7,1.69782
-229.968604,10,1.698808
-399.162866,13,1.698808
-380.132276,13,1.699828
-601.593001,17,1.700832
-252.635337,10,1.700832
-155.871123,8,1.70182
-253.328751,10,1.702811
-506.728369,15,1.703807
-102.635337,7,1.703807
-333.053716,12,1.704418
-576.775203,17,1.705433
-681.367883,19,1.706441
-702.588326,19,1.708442
-248.008696,10,1.709441
-1152.901518,28,1.711441
-76.578079,7,1.712444
-824.907616,21,1.714446
-498.768374,15,1.716476
-405.611464,13,1.717514
-283.602764,11,1.718514
-1197.772007,29,1.719505
-298.281185,11,1.72049
-402.588326,13,1.72049
-480.132276,15,1.721488
-601.742244,17,1.722486
15.699535,5,1.722486
-98.281185,7,1.723816
-253.846346,10,1.723816
-31.077342,6,1.723816
-648.008696,18,1.726336
-52.901518,6,1.727336
-251.068029,10,1.727336
-445.997559,14,1.729345
-605.611464,17,1.732656
-899.623552,23,1.732656
-49.623552,6,1.733691
-357.333692,12,1.733691
-578.537963,17,1.735201
-52.143079,6,1.735201
-347.34027,12,1.736217
-526.779341,16,1.737209
-276.779341,11,1.738206
-206.728369,9,1.738206
-399.231237,13,1.739206
-580.592508,17,1.739206
-259.310245,10,1.741245
-248.768374,10,1.741245
-327.720858,12,1.742243
-855.18441,22,1.743242
-384.378139,13,1.745781
-431.135462,14,1.747775
-184.057219,9,1.749247
-1028.463097,26,1.750931
-99.560449,7,1.751937
-172.511292,8,1.75297
-732.073104,20,1.753974
-886.063971,23,1.799885
-401.512826,13,1.81274
-374.975987,12,1.819251
-498.008696,15,1.831568
