y,x,street_count,junction,highway,ref,geometry
13.123914,74.7744718,3,,,,POINT (74.7744718 13.123914)
13.3622627,74.7436281,3,,,,POINT (74.7436281 13.3622627)
13.3516134,74.7378767,3,,,,POINT (74.7378767 13.3516134)
13.3873434,74.739434,3,,,,POINT (74.739434 13.3873434)
13.3883875,74.7414895,3,,,,POINT (74.7414895 13.3883875)
13.3627528,74.743795,3,,,,POINT (74.743795 13.3627528)
13.1010209,74.8776173,3,,,,POINT (74.8776173 13.1010209)
13.3486511,74.7041151,3,,,,POINT (74.7041151 13.3486511)
13.1958511,74.7517732,3,,,,POINT (74.7517732 13.1958511)
13.2777015,74.7488517,3,,,,POINT (74.7488517 13.2777015)
13.2461518,74.7440588,3,,,,POINT (74.7440588 13.2461518)
13.2205465,74.7485379,3,,,,POINT (74.7485379 13.2205465)
13.3160353,74.7390938,3,,,,POINT (74.7390938 13.3160353)
13.1545868,74.7668025,3,,,,POINT (74.7668025 13.1545868)
13.4225519,74.9544275,3,,,,POINT (74.9544275 13.4225519)
13.3213232,74.878633,3,,,,POINT (74.878633 13.3213232)
13.3310958,74.8727722,3,,,,POINT (74.8727722 13.3310958)
13.3473296,74.7923951,3,,,,POINT (74.7923951 13.3473296)
13.3529435,74.7913301,3,,,,POINT (74.7913301 13.3529435)
13.3519887,74.7934165,3,,,,POINT (74.7934165 13.3519887)
13.336987,74.7704343,3,,,,POINT (74.7704343 13.336987)
13.34533,74.7698853,3,,,,POINT (74.7698853 13.34533)
13.3483353,74.729126,3,,,,POINT (74.729126 13.3483353)
13.3477341,74.7177547,3,,,,POINT (74.7177547 13.3477341)
13.3474023,74.7223726,3,,,,POINT (74.7223726 13.3474023)
13.3473087,74.7236644,3,,,,POINT (74.7236644 13.3473087)
13.3479134,74.7319182,3,,,,POINT (74.7319182 13.3479134)
13.3502997,74.7306016,4,,,,POINT (74.7306016 13.3502997)
13.3480565,74.7318171,3,,,,POINT (74.7318171 13.3480565)
13.3369412,74.7393843,4,,,,POINT (74.7393843 13.3369412)
13.3370504,74.7364478,4,,,,POINT (74.7364478 13.3370504)
13.331563,74.7466019,4,,,,POINT (74.7466019 13.331563)
13.3366652,74.7399154,3,,,,POINT (74.7399154 13.3366652)
13.3345281,74.7428938,4,,,,POINT (74.7428938 13.3345281)
13.3347859,74.7440681,4,,,,POINT (74.7440681 13.3347859)
13.3359926,74.7475621,3,,,,POINT (74.7475621 13.3359926)
13.3352801,74.7462478,3,,,,POINT (74.7462478 13.3352801)
13.3365543,74.7480422,3,,,,POINT (74.7480422 13.3365543)
13.3366862,74.7490563,3,,,,POINT (74.7490563 13.3366862)
